Coordinates for Russian Mn in Morocco

Eastings,Northings,Thickness
2265,7625,0
2265,7675,0
2265,7725,0
2265,7775,0.2
2265,7825,0.4
2265,7875,0
2265,7925,0
2265,7975,0
2265,8025,0
2365,7625,0
2365,7675,0.3
2365,7725,0.35
2365,7775,0.3
2365,7825,0
2365,7875,0.1
2365,7925,0
2365,7975,0
2365,8025,0
2415,7625,0
2415,7675,0.3
2415,7725,0.4
2415,7775,0.4
2415,7825,0.3
2415,7875,0.5
2415,7925,0.3
2415,7975,0.2
2415,8025,0
2465,7625,0
2465,7675,0
2465,7725,1
2465,7775,1
2465,7825,1.2
2465,7875,0.25
2465,7925,0.4
2465,7975,0.2
2465,8025,0.1
2515,7625,0.1
2515,7675,0.1
2515,7725,0.3
2515,7775,0.5
2515,7825,0.1
2515,7875,0.9
2515,7925,0.3
2515,7975,0.2
2515,8025,0.1
2565,7625,0.3
2565,7675,0.35
2565,7725,0.1
2565,7775,0.3
2565,7825,1.5
2565,7875,1.6
2565,7925,0.5
2565,7975,0.1
2565,8025,0.3
2615,7625,0.76
2615,7675,0.25
2615,7725,0.2
2615,7775,0.1
2615,7825,0.15
2615,7875,0.15
2615,7925,0.12
2615,7975,0.64
2615,8025,0.82
2665,7625,0.55
2665,7675,0.66
2665,7725,0.77
2665,7775,0.88
2665,7825,1.2
2665,7875,0.5
2665,7925,0.3
2665,7975,0.07
2665,8025,0.1
2715,7625,0.1
2715,7675,0.1
2715,7725,1.3
2715,7775,2.1
2715,7825,2.44
2715,7875,0.2
2715,7925,0.9
2715,7975,0.4
2715,8025,0
2765,7625,0.1
2765,7675,0.1
2765,7725,0.4
2765,7775,1.35
2765,7825,0.65
2765,7875,0
2765,7925,0.3
2765,7975,0.1
2765,8025,0.1


